S. No.,India / State/ Union Territory,Population 2011,Decadal Population Growth Rate - 2001-2011,Population Density (per sq.km) - 2011,Note of India / State/ Union Territory
1. A,INDIA,1210854977,17.7,368,NA
1,Andhra Pradesh,49386799,9,308,**
2,Arunachal Pradesh,1383727,26,17,NA
3,Assam,31205576,17.1,398,NA
4,Bihar,104099452,25.4,1106,NA
5,Chhattisgarh,25545198,22.6,189,NA
6,Goa,1458545,8.2,394,NA
7,Gujarat,60439692,19.3,308,NA
8,Haryana,25351462,19.9,573,NA
9,Himachal Pradesh,6864602,12.9,123,NA
10,Jammu & Kashmir,12541302,23.6,56,NA
11,Jharkhand,32988134,22.4,414,NA
12,Karnataka,61095297,15.6,319,NA
13,Kerala,33406061,4.9,860,NA
14,Madhya Pradesh,72626809,20.3,236,NA
15,Maharashtra,112374333,16,365,NA
16,Manipur,2855794,31.8,128,*
17,Meghalaya,2966889,27.9,132,NA
18,Mizoram,1097206,23.5,52,NA
19,Nagaland,1978502,-0.6,119,NA
20,Odisha,41974218,14,270,NA
21,Punjab,27743338,13.9,551,NA
22,Rajasthan,68548437,21.3,200,NA
23,Sikkim,610577,12.9,86,NA
24,Tamil Nadu,72147030,15.6,555,NA
25,Telangana,35193978,13.6,306,**
26,Tripura,3673917,14.8,350,NA
27,Uttarakhand,10086292,18.8,189,NA
28,Uttar Pradesh,199812341,20.2,829,NA
29,West Bengal,91276115,13.8,1028,NA
30,A & N Island,380581,6.9,46,NA
31,Chandigarh,1055450,17.2,9258,NA
32,Dadra & Nagar Haveli,343709,55.9,700,NA
33,Daman & Diu,243247,53.8,2191,NA
34,Delhi,16787941,21.2,11320,NA
35,Lakshadweep,64473,6.3,2149,NA
36,Puducherry,1247953,28.1,2547,NA
